Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,50,0,52,54.59165400126949,33.63189997617155,92.69130002940074,2956.0,0.07573116779356444,0.0,53,56,64,70,79,83,93,93,93,93,93
GET,GET /owners (lista),6990,0,75,96.76985246116344,9.763600013684481,1046.0522000212222,101869.33519313305,10.587217257540308,0.0,75,99,120,140,200,260,330,400,820,1000,1000
GET,GET /owners/{id},4762,0,7,10.089481184129978,4.785400000400841,690.2730999863707,180.96535069298614,7.212636420659077,0.0,7,8,9,10,15,18,25,33,410,690,690
GET,GET /vets,3208,0,9,11.595202680678481,5.951399973127991,79.91369999945164,653.0,4.858911725635094,0.0,9,12,13,15,19,22,27,31,58,80,80
POST,POST /owners (criar),1000,0,50,42.66233029856812,6.036899983882904,309.5362999592908,144.922,1.5146233558712887,0.0,50,51,52,53,55,60,64,71,310,310,310
,Aggregated,16010,0,18,50.409537870119145,4.785400000400841,1046.0522000212222,44679.32267332917,24.249119927499333,0.0,18,50,64,81,130,190,270,320,500,950,1000
