Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,50,47,10000.0,10009.863940000068,9360.395299998345,10219.524799991632,50220.96,0.08369962682761611,0.07867764921795915,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),4353,4313,6,861.6523153229061,2.769300001091324,10328.316099999938,7840.532736044108,7.28688951161226,7.219929810150166,6,8,10,12,25,10000,10000,10000,10000,10000,10000
GET,GET /owners/{id},2876,2781,6,707.4515265297931,2.4702999944565818,10028.281599996262,151.52573018080668,4.814402535124479,4.655373244152009,6,8,10,12,21,10000,10000,10000,10000,10000,10000
GET,GET /vets,2321,2106,6,7.471054588414035,2.727800005231984,71.165800007293,187.52046531667384,3.88533667733794,3.525428281979191,6,7,8,9,13,17,23,26,56,71,71
POST,POST /owners (criar),1146,1127,48,805.7259947644148,3.533600000082515,10064.124100012123,55.39267015706806,1.9183954468889615,1.8865895886944672,48,50,52,54,61,10000,10000,10000,10000,10000,10000
,Aggregated,10746,10374,6,672.4919619951617,2.4702999944565818,10328.316099999938,3496.6862088218872,17.988723797791256,17.365998574193792,6,9,13,17,50,10000,10000,10000,10000,10000,10000
