Method,Name,Error,Occurrences
GET,/api/customer/owners,HTTPError('405 Client Error: Method Not Allowed for url: /api/customer/owners'),95
POST,POST /owners (criar),CatchResponseError('Status 503'),2498
GET,GET /vets,CatchResponseError('Status 405'),4798
GET,GET /owners/{id},CatchResponseError('Status 405'),6601
GET,GET /owners (lista),CatchResponseError('Status 405'),9931
