Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,50,0,130.0,116.01000800001202,48.47860000154469,221.32629998668563,3073.1,0.08359280930744216,0.0,130,130,140,140,170,180,220,220,220,220,220
GET,GET /owners (lista),5755,0,81,95.64890983476256,14.24919998680707,913.4713999956148,103597.12441355344,9.621532351286591,0.0,81,110,120,130,160,210,310,400,770,910,910
GET,GET /owners/{id},4388,0,8,11.267568869571305,4.956499993568286,758.2406000001356,174.06358249772106,7.336104944821123,0.0,8,9,10,11,14,19,29,54,420,760,760
GET,GET /vets,2857,0,10,13.183103010175266,5.725700000766665,150.0612999952864,653.0,4.776493123827245,0.0,10,12,14,15,22,29,40,57,120,150,150
POST,POST /owners (criar),1462,0,50,41.54207995890403,5.5185999954119325,792.1953000040958,137.2626538987688,2.4442537441496084,0.0,50,52,53,54,57,61,71,88,370,790,790
,Aggregated,14512,0,20,48.518516737784346,4.956499993568286,913.4713999956148,41288.94680264609,24.26197697339201,0.0,20,51,66,83,130,160,220,290,720,900,910
