Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,100,100,24,1030.2473919992917,13.932800007751212,10056.563399994047,147.0,0.16691106195901678,0.16691106195901678,24,36,47,55,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),10336,10304,5,402.46347560953734,2.7547999925445765,10023.952399991686,3294.3400735294117,17.251927364083976,17.19851582425709,5,5,6,6,10,15,10000,10000,10000,10000,10000
GET,GET /owners/{id},6799,6728,5,367.18818145314486,2.7381999971112236,10021.694499999285,151.85380202971024,11.348283102593552,11.22977624860265,5,5,6,6,10,14,10000,10000,10000,10000,10000
GET,GET /vets,5070,4891,5,5.4133829980741,2.7039000124204904,36.19070000422653,158.11183431952662,8.46239084132215,8.16362004041551,5,5,6,6,8,11,13,15,26,36,36
POST,POST /owners (criar),2612,2580,47,413.76816527560266,3.1398999999510124,10057.147900006385,55.029096477794795,4.359716938369519,4.306305398542634,47,48,48,49,52,59,10000,10000,10000,10000,10000
,Aggregated,24917,24603,5,315.7526174218447,2.7039000124204904,10057.147900006385,1446.515070032508,41.589229308328214,41.0651285737769,5,6,7,9,46,49,10000,10000,10000,10000,10000
