Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,50,37,10000.0,8517.085685999773,1474.6372000081465,10084.359100001166,184246.02,0.0834730265163515,0.061770039622100106,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),4404,4322,5,887.0661517030178,2.730899999733083,10036.550199991325,13453.05608537693,7.352304175560239,7.215408412073423,5,6,7,10,25,10000,10000,10000,10000,10000,10000
GET,GET /owners/{id},2985,2867,5,750.7973408374959,2.7070000069215894,10029.461300000548,150.42311557788943,4.983339683026184,4.786343340447595,5,6,8,10,17,10000,10000,10000,10000,10000,10000
GET,GET /vets,2151,1942,5,6.49955611342887,2.88169999839738,55.05619999894407,188.94235239423523,3.5910096007334413,3.242092349895092,5,6,7,8,12,14,18,20,33,55,55
POST,POST /owners (criar),1104,1068,48,752.5943742754822,3.620600007707253,10059.850999998162,56.73913043478261,1.843084425481041,1.782983846389268,48,49,50,52,58,10000,10000,10000,10000,10000,10000
,Aggregated,10694,10236,5,693.7037977557638,2.7070000069215894,10084.359100001166,6487.528333645035,17.85321091131726,17.088597988427477,5,7,11,14,49,10000,10000,10000,10000,10000,10000
