Method,Name,Error,Occurrences
GET,/api/customer/owners,HTTPError('405 Client Error: Method Not Allowed for url: /api/customer/owners'),40
POST,POST /owners (criar),CatchResponseError('Status 503'),1073
GET,GET /vets,CatchResponseError('Status 405'),2000
GET,GET /owners/{id},CatchResponseError('Status 405'),3230
GET,GET /owners (lista),CatchResponseError('Status 405'),4543
