Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,196,71,4159.816293499098,19.858400002704002,10049.112100008642,21848.86,0.6686156212387667,0.6552433088139914,72,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),10622,10615,5,296.57560994175753,2.6408000121591613,10040.342100008274,863.4201656938429,35.5101756439909,35.48677409724755,5,5,6,6,9,14,10000,10000,10000,10000,10000
GET,GET /owners/{id},5950,5923,5,264.5462616303272,2.8421000024536625,10023.002200003248,152.92991596638655,19.89131473185331,19.801051622986076,5,5,6,6,9,14,10000,10000,10000,10000,10000
GET,GET /vets,5246,5055,5,5.69840589021005,2.6719999877968803,123.86120000155643,159.64125047655355,17.537787745092853,16.89925982680983,5,5,6,6,9,12,15,17,30,120,120
POST,POST /owners (criar),2575,2560,47,333.87183506786033,3.083499992499128,10055.786900004023,54.48932038834951,8.60842612344912,8.558279951856214,47,48,49,49,52,56,10000,10000,10000,10000,10000
,Aggregated,24593,24349,5,262.10114491120873,2.6408000121591613,10055.786900004023,627.3631521164559,82.21631986562495,81.40060880771365,5,6,7,9,46,49,10000,10000,10000,10000,10000
