Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,200,10013.311199989403,10042.145721999259,10013.311199989403,10076.602399989497,148.0,0.6695576423505081,0.6695576423505081,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),10759,10749,5,136.75764840589932,2.4209000112023205,10026.959699986037,1165.4253183381354,36.01885337024558,35.98537548812806,5,5,6,6,8,12,18,10000,10000,10000,10000
GET,GET /owners/{id},6269,6244,5,110.83958486228701,2.6014000177383423,10015.752500010421,152.94018184718456,20.987284299476674,20.90358959418286,5,5,5,6,8,12,18,10000,10000,10000,10000
GET,GET /vets,5404,5281,5,5.53225584760402,2.830500015988946,67.07029999233782,152.65358993338268,18.091447496310728,17.679669546265167,5,5,6,6,8,11,14,17,36,67,67
POST,POST /owners (criar),2651,2644,47,175.23732848011988,3.3810999884735793,10055.384400009643,54.22180309317239,8.874986549355985,8.851552031873716,47,48,48,49,51,54,60,10000,10000,10000,10000
,Aggregated,25283,25118,5,184.67383259509816,2.4209000112023205,10076.602399989497,573.3447375706996,84.64212935773948,84.08974430280031,5,6,6,8,45,48,57,10000,10000,10000,10000
