Method,Name,Error,Occurrences
GET,/api/customer/owners,HTTPError('405 Client Error: Method Not Allowed for url: /api/customer/owners'),195
POST,POST /owners (criar),CatchResponseError('Status 503'),2482
GET,GET /vets,CatchResponseError('Status 405'),4817
GET,GET /owners/{id},CatchResponseError('Status 405'),5607
GET,GET /owners (lista),CatchResponseError('Status 405'),10128
