Method,Name,Error,Occurrences
GET,/api/customer/owners,HTTPError('405 Client Error: Method Not Allowed for url: /api/customer/owners'),45
POST,POST /owners (criar),CatchResponseError('Status 503'),1015
GET,GET /vets,CatchResponseError('Status 405'),1927
GET,GET /owners/{id},CatchResponseError('Status 405'),2801
GET,GET /owners (lista),CatchResponseError('Status 405'),4414
