Cenário,Usuários,Tempo Médio (ms),Tempo Máximo (ms),Req/s,Total Requisições,Total Falhas,% Sucesso
LEVE,50,788.5562091289448,9407.833386667093,17.89538674905334,10383.866666666667,8746.5,18.031666329577433
MODERADO,100,337.4085168746536,10105.488089999804,41.137145414323136,24619.166666666668,24258.433333333334,1.4675144058065348
PICO,200,256.1305210614829,10113.19507999821,81.17506323433598,24268.633333333335,24061.2,0.8591786698881883
