Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760778569,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760778570,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760778571,20,,Aggregated,0.000000,0.000000,18,23,24,24,26,27,27,27,27,27,27,17,17,18,16.72892352764714,6.229399994481355,26.712000006227754,146.1764705882353
1760778572,30,,Aggregated,0.000000,0.000000,20,24,25,26,48,49,50,50,50,50,50,35,35,20,21.930631427676417,3.828000000794418,50.19580000953283,132.71428571428572
1760778573,40,,Aggregated,8.500000,8.500000,20,24,26,27,48,49,50,54,54,54,54,59,59,20,20.517084745086446,3.7468999944394454,53.74479999591131,134.77966101694915
1760778574,60,,Aggregated,11.333333,11.333333,20,22,24,25,30,48,50,54,54,54,54,82,82,19,18.207507315709357,3.3494999952381477,53.74479999591131,138.1219512195122
1760778575,70,,Aggregated,14.250000,14.250000,20,23,26,30,48,50,61,67,68,68,68,115,115,20,20.216013042448573,3.3494999952381477,68.28760000644252,138.80869565217392
1760778576,80,,Aggregated,16.200000,16.200000,17,22,25,27,47,49,61,67,68,68,68,150,150,17,19.030033999006264,3.3494999952381477,68.28760000644252,137.34
1760778577,90,,Aggregated,17.833333,17.833333,17,22,27,36,48,55,67,70,74,74,74,192,192,17,20.40154791590491,3.3494999952381477,74.34859999921173,136.84895833333334
1760778578,100,,Aggregated,19.571429,19.571429,17,22,26,35,48,54,61,68,74,74,74,228,228,16,19.79858684136528,3.3494999952381477,74.34859999921173,135.8815789473684
1760778579,100,,Aggregated,22.500000,22.500000,18,24,30,41,49,61,10000,10000,10000,10000,10000,294,294,18,360.7510275503547,3.3494999952381477,10056.563399994047,135.24489795918367
1760778580,100,,Aggregated,23.777778,23.777778,17,23,30,41,48,58,10000,10000,10000,10000,10000,331,331,17,321.9614996971985,3.1943999929353595,10056.563399994047,134.3595166163142
1760778581,100,,Aggregated,25.700000,25.700000,12,22,27,39,48,58,10000,10000,10000,10000,10000,369,369,12,289.9695417338504,3.1943999929353595,10056.563399994047,134.24932249322492
1760778582,100,,Aggregated,30.700000,30.700000,10,22,27,36,48,56,10000,10000,10000,10000,10000,393,393,10,272.8667015261781,3.1943999929353595,10056.563399994047,134.3587786259542
1760778583,100,,Aggregated,33.200000,33.200000,9,21,26,35,48,55,10000,10000,10000,10000,10000,431,431,9,249.74348561424603,3.1943999929353595,10056.563399994047,134.28074245939675
1760778584,100,,Aggregated,34.400000,34.400000,8,21,26,34,48,55,10000,10000,10000,10000,10000,460,460,8,234.6986415211691,3.191700001480058,10056.563399994047,133.95
1760778585,100,,Aggregated,34.900000,34.900000,6,19,24,31,47,54,74,10000,10000,10000,10000,503,503,6,215.52628091385793,3.191700001480058,10056.563399994047,134.00198807157057
1760778586,100,,Aggregated,36.400000,36.400000,6,18,24,30,47,53,74,10000,10000,10000,10000,535,535,6,203.1970568218053,3.191700001480058,10056.563399994047,134.12710280373832
1760778587,100,,Aggregated,37.500000,37.500000,6,15,22,27,47,51,70,10000,10000,10000,10000,571,571,6,190.85294115523772,3.191700001480058,10056.563399994047,134.59194395796848
1760778588,100,,Aggregated,38.100000,38.100000,6,14,22,27,47,51,70,10000,10000,10000,10000,598,598,6,182.83445836056237,3.191700001480058,10056.563399994047,134.2809364548495
1760778589,100,,Aggregated,36.600000,36.600000,6,12,22,26,46,51,74,10000,10000,10000,10000,637,637,6,203.46411004645336,3.191700001480058,10056.563399994047,134.64678178963894
1760778590,100,,Aggregated,36.600000,36.600000,6,11,22,26,46,50,70,10000,10000,10000,10000,676,676,6,192.40784733662122,3.12320000375621,10056.563399994047,134.45118343195267
1760778591,100,,Aggregated,36.300000,36.300000,6,10,22,26,47,50,68,10000,10000,10000,10000,703,703,6,185.45926585998836,3.12320000375621,10056.563399994047,134.20199146514935
1760778592,100,,Aggregated,34.100000,34.100000,6,10,21,26,47,50,68,10000,10000,10000,10000,739,739,6,177.2072687410538,3.12320000375621,10056.563399994047,133.75236806495263
1760778593,100,,Aggregated,33.700000,33.700000,6,10,21,26,47,50,67,10000,10000,10000,10000,768,768,6,170.96653020786334,3.12320000375621,10056.563399994047,133.81640625
1760778594,100,,Aggregated,33.500000,33.500000,6,10,20,25,47,49,61,10000,10000,10000,10000,808,808,6,162.95980061837363,3.12320000375621,10056.563399994047,133.86138613861385
1760778595,100,,Aggregated,34.500000,34.500000,6,10,20,24,47,49,61,10000,10000,10000,10000,841,841,6,157.05619821598748,3.12320000375621,10056.563399994047,133.76575505350772
1760778596,100,,Aggregated,33.200000,33.200000,6,10,20,24,47,49,60,10000,10000,10000,10000,884,884,6,150.0860720584343,3.12320000375621,10056.563399994047,133.44909502262445
1760778597,100,,Aggregated,33.600000,33.600000,5,9,18,24,47,49,60,10000,10000,10000,10000,910,910,5,145.98775098858604,3.12320000375621,10056.563399994047,133.68791208791208
1760778598,100,,Aggregated,33.800000,33.800000,5,9,18,24,47,49,60,10000,10000,10000,10000,943,943,5,141.23324061464172,3.12320000375621,10056.563399994047,133.67020148462353
1760778599,100,,Aggregated,34.700000,34.700000,5,9,18,24,47,49,59,10000,10000,10000,10000,970,970,5,137.71919762842015,3.12320000375621,10056.563399994047,133.43711340206187
1760778600,100,,Aggregated,34.100000,34.100000,5,9,17,23,46,49,58,10000,10000,10000,10000,1017,1017,5,131.83433225127362,3.12320000375621,10056.563399994047,133.53785644051132
1760778601,100,,Aggregated,33.400000,33.400000,5,9,17,23,47,49,58,10000,10000,10000,10000,1050,1050,5,128.2518659043403,3.12320000375621,10056.563399994047,133.09714285714287
1760778602,100,,Aggregated,33.500000,33.500000,5,9,17,23,47,49,58,10000,10000,10000,10000,1076,1076,5,125.44586533421382,3.12320000375621,10056.563399994047,133.05483271375465
1760778603,100,,Aggregated,34.000000,34.000000,5,9,16,23,47,49,58,10000,10000,10000,10000,1118,1118,5,121.29068944505272,3.12320000375621,10056.563399994047,132.69051878354205
1760778604,100,,Aggregated,34.300000,34.300000,5,8,15,23,47,49,56,10000,10000,10000,10000,1152,1152,5,117.96006440934232,3.12320000375621,10056.563399994047,132.81597222222223
1760778605,100,,Aggregated,33.400000,33.400000,5,8,15,23,47,49,56,10000,10000,10000,10000,1182,1182,5,115.30275186086992,3.12320000375621,10056.563399994047,132.63874788494078
1760778606,100,,Aggregated,34.500000,34.500000,5,8,15,22,47,49,56,74,10000,10000,10000,1222,1222,5,111.92225752826451,3.12320000375621,10056.563399994047,132.4787234042553
1760778607,100,,Aggregated,34.300000,34.300000,5,8,14,23,47,49,56,74,10000,10000,10000,1253,1253,5,109.4982749397742,3.12320000375621,10056.563399994047,132.26256983240222
1760778608,100,,Aggregated,33.800000,33.800000,5,8,15,23,47,49,56,74,10000,10000,10000,1287,1287,5,107.06384615349315,3.12320000375621,10056.563399994047,131.8857808857809
1760778609,100,,Aggregated,33.400000,33.400000,5,8,15,23,47,49,55,70,10000,10000,10000,1324,1324,5,104.45076080022525,3.12320000375621,10056.563399994047,131.66691842900303
1760778610,100,,Aggregated,34.300000,34.300000,5,7,14,23,47,48,55,70,10000,10000,10000,1365,1365,5,101.70496586045411,3.12320000375621,10056.563399994047,131.5157509157509
1760778611,100,,Aggregated,34.100000,34.100000,5,7,14,23,47,48,55,70,10000,10000,10000,1398,1398,5,99.53881072924534,3.12320000375621,10056.563399994047,131.56008583690988
1760778612,100,,Aggregated,34.900000,34.900000,5,7,13,22,47,48,55,68,10000,10000,10000,1429,1429,5,97.59265514308335,3.011499997228384,10056.563399994047,131.57102869139257
