Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,50,45,10000.0,9765.81850599905,6369.949200001429,10056.689799996093,75791.8,0.08347888841445286,0.07513099957300758,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),4402,4369,6,829.9263219218863,2.7663999935612082,10094.658100002562,5866.189232167197,7.34948133600843,7.294385269654891,6,8,9,11,21,10000,10000,10000,10000,10000,10000
GET,GET /owners/{id},2908,2837,6,784.9202944637177,2.911799994762987,10072.166099998867,151.63686382393396,4.855132150184579,4.7365921286360555,6,8,10,12,21,10000,10000,10000,10000,10000,10000
GET,GET /vets,2257,2032,6,7.465822906506484,2.66169999667909,48.06109999481123,191.140894993354,3.7682370230284024,3.3925820251633643,6,7,8,10,13,16,22,26,45,48,48
POST,POST /owners (criar),1121,1089,49,788.2634628899475,3.741100008483045,10057.190199993784,56.3978590544157,1.8715966782520332,1.8181701896667832,49,51,53,54,61,10000,10000,10000,10000,10000,10000
,Aggregated,10738,10372,6,682.1259559415379,2.66169999667909,10094.658100002562,2844.8632892531195,17.927926075887896,17.3168606126941,6,9,13,16,51,10000,10000,10000,10000,10000,10000
