Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,200,48,549.9391924997326,24.24629998859018,10098.855299991556,148.0,0.6678832295463641,0.6678832295463641,48,51,55,58,94,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),10528,10520,5,318.15199764449943,2.4545000051148236,10019.559299980756,984.0928951367781,35.15737320332061,35.130657874138755,5,6,6,7,11,15,10000,10000,10000,10000,10000
GET,GET /owners/{id},5978,5961,5,368.58374943127507,2.5769000058062375,10030.90510002221,152.95734359317498,19.963029731140825,19.906259656629384,5,6,6,7,11,16,10000,10000,10000,10000,10000
GET,GET /vets,5135,4964,5,5.840382862647047,2.6282000180799514,51.16860000998713,158.05004868549173,17.147901918602898,16.576861757340758,5,5,6,7,9,12,15,18,38,51,51
POST,POST /owners (criar),2708,2693,47,311.132078434025,3.2500000088475645,10066.364800004521,54.46528803545052,9.04313892805777,8.993047685841793,47,48,49,50,53,58,10000,10000,10000,10000,10000
,Aggregated,24549,24338,5,266.21946955885863,2.4545000051148236,10098.855299991556,499.55550124241313,81.97932701066846,81.27471020349705,5,6,8,11,46,50,10000,10000,10000,10000,10000
