Method,Name,Error,Occurrences
GET,/api/customer/owners,HTTPError('405 Client Error: Method Not Allowed for url: /api/customer/owners'),47
POST,POST /owners (criar),CatchResponseError('Status 503'),1089
GET,GET /vets,CatchResponseError('Status 405'),1980
GET,GET /owners/{id},CatchResponseError('Status 405'),2784
GET,GET /owners (lista),CatchResponseError('Status 405'),4539
