Method,Name,Error,Occurrences
GET,/api/customer/owners,HTTPError('405 Client Error: Method Not Allowed for url: /api/customer/owners'),200
POST,POST /owners (criar),CatchResponseError('Status 503'),2598
GET,GET /vets,CatchResponseError('Status 405'),5091
GET,GET /owners/{id},CatchResponseError('Status 405'),3769
GET,GET /owners (lista),CatchResponseError('Status 405'),10582
