Method,Name,Error,Occurrences
GET,/api/customer/owners,HTTPError('405 Client Error: Method Not Allowed for url: /api/customer/owners'),198
POST,POST /owners (criar),CatchResponseError('Status 503'),2415
GET,GET /vets,CatchResponseError('Status 405'),4828
GET,GET /owners/{id},CatchResponseError('Status 405'),5881
GET,GET /owners (lista),CatchResponseError('Status 405'),9978
