Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760788729,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760788730,20,,Aggregated,0.000000,0.000000,35,38,43,43,45,47,47,47,47,47,47,19,19,35,26.775584209214063,3.5860000061802566,46.68509999464732,137.73684210526315
1760788731,60,,Aggregated,0.000000,0.000000,45,87,100,120,120,130,130,140,140,140,140,61,61,45,63.288245900948226,3.5860000061802566,136.42150000669062,141.14754098360655
1760788732,80,,Aggregated,19.000000,19.000000,44,76,89,100,120,130,130,130,140,140,140,102,102,44,56.91570392067946,3.5860000061802566,136.42150000669062,142.5686274509804
1760788733,100,,Aggregated,30.000000,30.000000,44,65,75,86,110,120,130,130,140,140,140,150,150,43,50.13577199948486,3.5860000061802566,136.42150000669062,142.58666666666667
1760788734,120,,Aggregated,33.333333,33.333333,40,50,61,72,97,120,130,130,140,140,140,213,213,40,43.066857745906475,3.5860000061802566,136.42150000669062,140.73708920187792
1760788735,140,,Aggregated,35.250000,35.250000,39,50,65,75,93,110,130,130,140,140,140,290,290,38,42.2337872413256,3.5023999953409657,136.42150000669062,140.70689655172413
1760788736,160,,Aggregated,41.000000,41.000000,35,48,54,62,89,100,120,130,140,140,140,378,378,35,38.39722142841854,3.298499999800697,136.42150000669062,140.1005291005291
1760788737,180,,Aggregated,44.000000,44.000000,32,48,50,55,84,97,120,130,140,140,140,453,453,32,35.65463708609185,3.1799999997019768,136.42150000669062,139.24724061810156
1760788738,200,,Aggregated,47.571429,47.571429,24,46,49,53,79,94,120,130,140,140,140,536,536,24,32.85050223875355,3.1799999997019768,136.42150000669062,138.6007462686567
1760788739,200,,Aggregated,51.500000,51.500000,20,45,49,53,79,100,130,10000,10000,10000,10000,637,637,20,188.00543375184256,3.022800010512583,10040.463900004397,138.2260596546311
1760788740,200,,Aggregated,55.222222,55.222222,13,44,48,51,75,94,130,10000,10000,10000,10000,705,705,13,170.9584212764736,3.022800010512583,10040.463900004397,137.82978723404256
1760788741,200,,Aggregated,58.700000,58.700000,10,40,48,50,72,93,130,10000,10000,10000,10000,779,779,10,155.72771810009223,3.022800010512583,10040.463900004397,137.54813863928112
1760788742,200,,Aggregated,64.500000,64.500000,9,38,48,49,70,92,120,10000,10000,10000,10000,832,832,9,146.62018281247722,3.022800010512583,10040.463900004397,137.15865384615384
1760788743,200,,Aggregated,68.300000,68.300000,8,34,47,48,66,91,120,10000,10000,10000,10000,917,917,8,134.0112898582816,3.022800010512583,10040.463900004397,136.9214830970556
1760788744,200,,Aggregated,70.400000,70.400000,7,30,46,48,65,89,120,10000,10000,10000,10000,979,979,7,126.33089407563742,3.022800010512583,10040.463900004397,136.3779366700715
1760788745,200,,Aggregated,73.500000,73.500000,7,27,46,48,62,86,120,140,10000,10000,10000,1041,1041,7,119.72951902020183,3.022800010512583,10040.463900004397,135.5946205571566
1760788746,200,,Aggregated,74.100000,74.100000,7,24,45,48,59,84,120,130,10000,10000,10000,1108,1108,7,113.1490562274914,3.022800010512583,10040.463900004397,135.41696750902528
1760788747,200,,Aggregated,74.300000,74.300000,6,20,45,47,56,82,110,130,10000,10000,10000,1181,1181,6,106.8543003387351,2.8223999979672953,10040.463900004397,135.27434377646063
1760788748,200,,Aggregated,74.200000,74.200000,6,18,45,47,54,79,110,130,10000,10000,10000,1242,1242,6,102.19144251206434,2.8223999979672953,10040.463900004397,135.04106280193236
1760788749,200,,Aggregated,71.700000,71.700000,6,15,45,47,54,82,120,10000,10000,10000,10000,1312,1312,6,143.10540152436948,2.8223999979672953,10040.463900004397,134.8216463414634
1760788750,200,,Aggregated,71.400000,71.400000,6,14,44,47,53,79,120,10000,10000,10000,10000,1375,1375,6,137.1395181818357,2.8223999979672953,10040.463900004397,134.81236363636364
1760788751,200,,Aggregated,68.900000,68.900000,6,13,43,46,52,78,110,10000,10000,10000,10000,1453,1453,6,130.4231502408327,2.8223999979672953,10040.463900004397,134.5732966276669
1760788752,200,,Aggregated,67.300000,67.300000,6,13,42,46,51,76,110,10000,10000,10000,10000,1514,1514,6,125.722630118864,2.8223999979672953,10040.463900004397,134.34808454425362
1760788753,200,,Aggregated,65.500000,65.500000,6,13,43,46,51,74,110,10000,10000,10000,10000,1584,1584,6,120.89667948229628,2.8223999979672953,10040.463900004397,133.8080808080808
1760788754,200,,Aggregated,66.800000,66.800000,6,12,40,46,51,72,100,140,10000,10000,10000,1651,1651,6,116.44907710481067,2.8223999979672953,10040.463900004397,133.8037552998183
