Method,Name,Error,Occurrences
GET,/api/customer/owners,HTTPError('405 Client Error: Method Not Allowed for url: /api/customer/owners'),200
POST,POST /owners (criar),CatchResponseError('Status 503'),2605
GET,GET /vets,CatchResponseError('Status 405'),5022
GET,GET /owners/{id},CatchResponseError('Status 405'),5934
GET,GET /owners (lista),CatchResponseError('Status 405'),10568
