Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,200,57,562.6049589997274,24.873200003639795,10040.463900004397,148.0,0.6684056058907815,0.6684056058907815,58,73,85,92,120,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),10871,10857,5,207.3913283507204,2.6177999970968813,10014.468399996986,1535.4543280287003,36.33118670819343,36.28439831578107,5,5,6,6,9,13,5600,10000,10000,10000,10000
GET,GET /owners/{id},4052,4023,5,386.59160969874625,2.735599991865456,10031.134200005908,152.8926456071076,13.541897575347232,13.444978762493069,5,6,6,7,11,18,10000,10000,10000,10000,10000
GET,GET /vets,5367,5210,5,5.739551760761451,2.8223999979672953,274.7659000015119,155.97745481647104,17.93666443407912,17.411966033454856,5,5,6,6,8,11,15,20,74,270,270
POST,POST /owners (criar),2649,2633,47,220.68942733091066,3.426799987209961,10054.744299995946,54.50736126840317,8.8530322500234,8.799559801552137,47,48,49,49,51,54,73,10000,10000,10000,10000
,Aggregated,23139,22923,5,196.5924107394249,2.6177999970968813,10054.744299995946,791.8477894463892,77.33118657353396,76.60930851917192,5,6,7,10,46,49,130,10000,10000,10000,10000
