Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,200,54,556.4394575004553,22.61749999888707,10062.915300004533,148.0,0.6684597061593514,0.6684597061593514,54,65,71,80,110,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),10724,10717,5,210.83186681277593,2.6785000081872568,10023.197700007586,843.8743006340918,35.84280944426442,35.81941335454884,5,5,6,6,9,14,9800,10000,10000,10000,10000
GET,GET /owners/{id},5956,5938,5,248.92405580940263,2.66320000810083,10022.798899997724,152.95466756212224,19.906730049425484,19.84656867587114,5,5,6,6,9,14,10000,10000,10000,10000,10000
GET,GET /vets,5528,5418,5,5.951020821197212,2.707299994654022,406.83540000463836,151.18813314037627,18.47622627824447,18.108573439856826,5,5,6,6,8,12,16,18,260,410,410
POST,POST /owners (criar),2727,2724,47,249.16688269147878,3.1853999971644953,10058.670500002336,54.09240924092409,9.114448093482755,9.104421197890366,47,48,49,49,52,55,10000,10000,10000,10000,10000
,Aggregated,25135,24997,5,181.70741355879403,2.66320000810083,10062.915300004533,436.5857966978317,84.00867357157648,83.54743637432652,5,6,7,9,46,49,87,10000,10000,10000,10000
