Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,50,0,1700.0,3325.7842499992694,873.8173000019742,8025.280399990152,533166.4,0.08342292887946892,0.0,1900,4500,5700,6600,7500,7900,8000,8000,8000,8000,8000
GET,GET /owners (lista),2256,3,5400.0,5388.38102845757,937.5048999936553,10094.760799998767,570827.6467198582,3.764042551041638,0.0050053757327681355,5400,6000,6300,6600,7400,8000,8500,8800,10000,10000,10000
GET,GET /owners/{id},1736,0,2600.0,2629.1549510368473,10.803699988173321,9753.573699999833,138.06566820276498,2.896444090695161,0.0,2600,3100,3500,3700,4400,5100,5700,6000,8100,9800,9800
GET,GET /vets,1078,0,11,12.39913181820636,6.256199994822964,89.0536999941105,653.0,1.79859834664135,0.0,11,13,14,15,19,23,28,32,70,89,89
POST,POST /owners (criar),541,0,2700.0,2750.7375776334143,10.195900002145208,9636.722700000973,138.0,0.9026360904758537,0.0,2700,3300,3700,3900,4600,5300,6000,6300,9600,9600,9600
,Aggregated,5661,3,3200.0,3248.2255964140363,6.256199994822964,10094.760799998767,232373.0374492139,9.445144007733472,0.0050053757327681355,3200,4400,5100,5500,6400,7200,8000,8400,9200,10000,10000
