Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,50,47,10000.0,10030.231214000087,9760.56690000405,10152.281200003927,48302.76,0.08353488720492487,0.07852279397262939,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),4581,4539,5,797.4682854833828,2.713399997446686,10046.784999998636,7534.057192752674,7.653466365715217,7.58329706046308,5,7,9,11,19,10000,10000,10000,10000,10000,10000
GET,GET /owners/{id},2843,2784,6,737.7185857897373,2.8305000014370307,10041.338900002302,151.69926134365107,4.749793686472028,4.651222519570217,6,7,9,11,17,10000,10000,10000,10000,10000,10000
GET,GET /vets,2193,1980,6,7.252283584214974,2.744700002949685,62.18340000486933,189.82626538987688,3.663840152808005,3.307981533315025,6,7,8,9,13,16,21,24,43,62,62
POST,POST /owners (criar),1112,1089,48,801.9652385792142,3.6724999954458326,10054.20649998996,55.73741007194245,1.8578158914375291,1.8193898433232638,48,50,52,54,62,10000,10000,10000,10000,10000,10000
,Aggregated,10779,10439,6,664.2301993784076,2.713399997446686,10152.281200003927,3510.36311346136,18.008450983637704,17.440413750644215,6,8,12,15,49,10000,10000,10000,10000,10000,10000
