Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,100,100,10011.083799996413,10029.569342000905,10011.083799996413,10058.0467999971,147.0,0.1669223344253931,0.1669223344253931,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),10039,10006,5,418.4958654646792,2.4714000028325245,10020.129899989115,3446.6040442275125,16.757333152965213,16.702248782604833,5,5,6,6,10,16,10000,10000,10000,10000,10000
GET,GET /owners/{id},6730,6657,5,414.79068515593275,2.816699998220429,10027.686299989,151.8481426448737,11.233873106828955,11.112019802698418,5,5,6,6,10,19,10000,10000,10000,10000,10000
GET,GET /vets,5090,4842,5,5.554154636607664,2.714000002015382,39.50360001181252,164.99489194499017,8.496346822252509,8.082379432877534,5,5,6,6,8,11,14,16,30,40,40
POST,POST /owners (criar),2483,2463,47,404.6919805477985,3.032699998584576,10053.89439999999,54.67660088602497,4.144681563782511,4.111297096897432,47,48,49,49,52,57,10000,10000,10000,10000,10000
,Aggregated,24442,24068,5,369.40099310612635,2.4714000028325245,10058.0467999971,1497.941330496686,40.79915698025458,40.17486744950361,5,6,7,9,46,50,10000,10000,10000,10000,10000
