Method,Name,Error,Occurrences
GET,/api/customer/owners,HTTPError('405 Client Error: Method Not Allowed for url: /api/customer/owners'),45
POST,POST /owners (criar),CatchResponseError('Status 503'),1080
GET,GET /vets,CatchResponseError('Status 405'),2017
GET,GET /owners/{id},CatchResponseError('Status 405'),2853
GET,GET /owners (lista),CatchResponseError('Status 405'),4349
