Method,Name,Error,Occurrences
GET,/api/customer/owners,HTTPError('405 Client Error: Method Not Allowed for url: /api/customer/owners'),40
POST,POST /owners (criar),CatchResponseError('Status 503'),1056
GET,GET /vets,CatchResponseError('Status 405'),1982
GET,GET /owners/{id},CatchResponseError('Status 405'),3208
GET,GET /owners (lista),CatchResponseError('Status 405'),4315
