Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,198,10000.0,9048.626450500084,26.376699999673292,10093.351600007736,11060.98,0.6682356873863977,0.6615533305125337,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),9981,9978,5,367.0424266706655,2.6867999986279756,10024.91970002302,476.17974150886687,33.348301979018174,33.33827844370738,5,6,6,7,12,18,10000,10000,10000,10000,10000
GET,GET /owners/{id},5892,5881,5,379.7249640190096,2.733400004217401,10020.186800000374,152.96978954514597,19.686223350403278,19.649470387597024,5,6,7,7,12,18,10000,10000,10000,10000,10000
GET,GET /vets,5020,4828,5,6.335394242724503,2.802600007271394,224.74100001272745,160.5824701195219,16.772715753398582,16.13120949350764,5,6,6,7,10,13,17,22,190,220,220
POST,POST /owners (criar),2418,2415,47,406.30038345720897,3.171199990902096,10061.19479998597,54.10421836228288,8.078969460501549,8.068945925190752,47,48,49,50,53,59,10000,10000,10000,10000,10000
,Aggregated,23511,23300,5,371.0923927097066,2.6867999986279756,10093.351600007736,374.4286504189528,78.55444623070798,77.84945758051533,5,6,8,11,46,51,10000,10000,10000,10000,10000
