Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,200,45,395.86968349976814,26.30519999365788,10042.50100000354,148.0,0.6688787080918049,0.6688787080918049,45,49,55,56,73,79,10000,10000,10000,10000,10000
GET,GET /owners (lista),10537,10528,5,315.3971005314994,2.5218999944627285,10244.838700004038,1061.394799278732,35.23987473581674,35.209775193952616,5,5,6,7,10,16,10000,10000,10000,10000,10000
GET,GET /owners/{id},5928,5901,5,379.88091958507465,2.64690000039991,10200.249400004395,152.93168016194332,19.8255649078411,19.735266282248705,5,6,6,7,12,19,10000,10000,10000,10000,10000
GET,GET /vets,5228,5041,5,6.0700074597572256,2.7237000031163916,322.55320000695065,159.31369548584544,17.484489429519783,16.859087837453945,5,5,6,7,9,13,16,19,63,320,320
POST,POST /owners (criar),2666,2655,47,316.80966699171796,3.350299986777827,10434.698500001105,54.34658664666166,8.91615317886376,8.87936484991871,47,48,49,49,52,56,10000,10000,10000,10000,10000
,Aggregated,24559,24325,5,265.9227105134648,2.5218999944627285,10434.698500001105,533.3228551651126,82.13496096013318,81.35237287166578,5,6,8,11,46,49,10000,10000,10000,10000,10000
