Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,200,10014.193800001522,10045.800013499982,10014.193800001522,10120.747499997378,148.0,0.6684675962028332,0.6684675962028332,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),10049,10038,5,338.27296800679267,2.492800005711615,10025.207700004103,1329.0464722857996,33.587154371211355,33.5503886534202,5,6,6,7,11,16,10000,10000,10000,10000,10000
GET,GET /owners/{id},5939,5907,5,359.8492647919736,2.907899994170293,10019.28670000052,152.9191783128473,19.850145269243132,19.74319045385068,5,6,6,7,11,17,10000,10000,10000,10000,10000
GET,GET /vets,4996,4811,5,5.867619855893226,2.7619000029517338,101.89980000723153,159.9591673338671,16.698320553146775,16.079988026659155,5,6,6,7,9,12,16,19,33,100,100
POST,POST /owners (criar),2491,2486,47,404.06171782415083,2.9396000027190894,10060.813700009021,54.168606985146525,8.325763910706288,8.309052220801217,47,48,49,50,54,58,10000,10000,10000,10000,10000
,Aggregated,23675,23442,5,362.46851994508125,2.492800005711615,10120.747499997378,643.1875395987329,79.12985170051039,78.35108695093409,5,6,8,10,47,51,10000,10000,10000,10000,10000
