Method,Name,Error,Occurrences
GET,/api/customer/owners,HTTPError('405 Client Error: Method Not Allowed for url: /api/customer/owners'),38
POST,POST /owners (criar),CatchResponseError('Status 503'),1021
GET,GET /vets,CatchResponseError('Status 405'),1944
GET,GET /owners/{id},CatchResponseError('Status 405'),2911
GET,GET /owners (lista),CatchResponseError('Status 405'),4478
