Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,200,51,504.896598499181,18.98069999879226,10038.775099994382,148.0,0.6682576732883416,0.6682576732883416,51,71,77,81,97,100,10000,10000,10000,10000,10000
GET,GET /owners (lista),10755,10742,5,307.66454920519715,2.619800012325868,10064.664200006519,1476.9568572756857,35.93555638108057,35.89211963231683,5,5,6,7,11,15,10000,10000,10000,10000,10000
GET,GET /owners/{id},5748,5721,5,387.11235725464866,2.46679998235777,10024.169900018023,152.9295407098121,19.20572553030694,19.11551074441301,5,6,6,7,11,17,10000,10000,10000,10000,10000
GET,GET /vets,5236,5068,5,5.804101795157684,2.731500018853694,59.11200001719408,157.42780748663102,17.494985886688784,16.933649441126576,5,5,6,7,9,12,15,17,24,59,59
POST,POST /owners (criar),2537,2530,47,326.498731769584,3.1549999839626253,10058.647199999541,54.231769806858495,8.476848585662614,8.453459567097521,47,48,49,50,53,57,10000,10000,10000,10000,10000
,Aggregated,24476,24261,5,265.3109550335149,2.46679998235777,10064.664200006519,725.4121588494852,81.78137405702725,81.06299705824229,5,6,8,10,46,49,10000,10000,10000,10000,10000
