Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,200,10014.603799994802,10044.824708499436,10014.603799994802,10105.206599997473,148.0,0.6690350759061545,0.6690350759061545,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),9700,9691,5,349.32645559785885,2.7011999918613583,10022.465699992608,1152.1615463917526,32.448201181448496,32.41809460303271,5,6,6,7,11,17,10000,10000,10000,10000,10000
GET,GET /owners/{id},5791,5746,5,356.6152687963629,2.558299995143898,10018.379700006335,152.88343982041098,19.371910622862703,19.221377730783818,5,6,6,7,11,17,10000,10000,10000,10000,10000
GET,GET /vets,5003,4778,5,5.959508095167369,2.614699988043867,51.011799994739704,164.02618428942634,16.735912423792456,15.98324796339803,5,6,6,7,9,13,16,18,38,51,51
POST,POST /owners (criar),2531,2510,47,402.56523678360924,3.1581000075675547,10054.160200001206,54.69695772421968,8.466638885592385,8.39639020262224,47,48,49,50,53,58,10000,10000,10000,10000,10000
,Aggregated,23225,22925,5,366.47141510864714,2.558299995143898,10105.206599997473,561.8934768568353,77.69169818960219,76.68814557574296,5,6,8,11,47,51,10000,10000,10000,10000,10000
