Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,200,44,545.9757940012787,18.718100007390603,10056.78430001717,148.0,0.6737558334448254,0.6737558334448254,44,49,60,66,72,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),10658,10650,5,219.77482139258913,2.6316000148653984,10156.001299998024,980.3634828297992,35.90444836427474,35.87749813093695,5,5,6,6,10,14,10000,10000,10000,10000,10000
GET,GET /owners/{id},5862,5827,5,238.56561736620816,2.5465000071562827,10018.889900005888,152.91044012282498,19.74778347826783,19.629876207414988,5,5,6,6,10,15,10000,10000,10000,10000,10000
GET,GET /vets,5391,5229,5,5.8970420327792255,2.5901999906636775,225.4230000253301,156.3856427378965,18.161088490505268,17.61534626541496,5,5,6,6,9,12,16,19,41,230,230
POST,POST /owners (criar),2650,2643,47,232.713805396123,2.87430000025779,10059.928900009254,54.22188679245283,8.927264793143936,8.903683338973368,47,48,49,49,52,55,170,10000,10000,10000,10000
,Aggregated,24761,24549,5,181.67720980984632,2.5465000071562827,10156.001299998024,499.2301603327814,83.4143409596366,82.70015977618509,5,6,7,10,46,48,71,10000,10000,10000,10000
