Method,Name,Error,Occurrences
GET,/api/customer/owners,HTTPError('405 Client Error: Method Not Allowed for url: /api/customer/owners'),40
POST,POST /owners (criar),CatchResponseError('Status 503'),1098
GET,GET /vets,CatchResponseError('Status 405'),2027
GET,GET /owners/{id},CatchResponseError('Status 405'),2829
GET,GET /owners (lista),CatchResponseError('Status 405'),4343
