Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,50,40,10000.0,7361.950253999967,18.095999999786727,10031.213299997034,155606.6,0.08356440244277871,0.06685152195422296,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners (lista),4382,4343,5,883.9153545413556,3.0307000124594197,10023.701099999016,7104.416476494751,7.323584230085126,7.258403996179759,5,5,6,7,15,10000,10000,10000,10000,10000,10000
GET,GET /owners/{id},2922,2829,5,762.5058161188584,2.6479000080144033,10014.783599996008,151.5318275154004,4.883503678755988,4.7280738902124195,5,5,6,7,14,10000,10000,10000,10000,10000,10000
GET,GET /vets,2230,2027,5,5.679709327464867,2.9712999967159703,44.28630000620615,186.69910313901346,3.7269723489479305,3.387700875030249,5,5,6,7,9,12,14,15,28,44,44
POST,POST /owners (criar),1129,1098,47,678.8721573072618,3.606199999921955,10064.552200012258,56.30646589902569,1.8868842071579432,1.8350742776434203,47,48,49,49,55,10000,10000,10000,10000,10000,10000
,Aggregated,10713,10337,5,676.6143011667749,2.6479000080144033,10064.552200012258,3718.339214039018,17.904508867389765,17.27610456102007,5,6,8,12,48,10000,10000,10000,10000,10000,10000
